page_name,url,page_type,primary_topic,primary_cta,out_1,out_2,out_3,out_4,out_5,out_6,out_7,out_8,in_1,in_2,in_3,in_4,in_5
Homepage,/,Home,Homepage,Contact,/maintenance-plans,/commercial-maintenance,/water-damage-restoration,/mold-remediation,/fire-smoke-damage,/inspection-repairs,/moisture-control,/resources/calculators,/services,/resources,/maintenance-plans,/commercial-maintenance,/service-areas
About,/about,Page,About,Contact,/maintenance-plans,/commercial-maintenance,/resources/calculators,/service-areas/harney-county,/service-areas/mid-willamette-valley,,,,/,/services,/resources,/contact,/service-areas
Services Overview,/services,Services Overview,Services Overview,Request service,/maintenance-plans,/commercial-maintenance,/water-damage-restoration,/mold-remediation,/fire-smoke-damage,/inspection-repairs,/moisture-control,/resources/calculators,/,/services,/resources,/contact,/service-areas
Contact,/contact,Page,Contact,Contact,/maintenance-plans,/commercial-maintenance,/resources/calculators,/service-areas/harney-county,/service-areas/mid-willamette-valley,,,,/,/services,/resources,/contact,/service-areas
Reviews,/reviews,Page,Reviews,Contact,/maintenance-plans,/commercial-maintenance,/resources/calculators,/service-areas/harney-county,/service-areas/mid-willamette-valley,,,,/,/services,/resources,/contact,/service-areas
Blog,/blog,Blog Hub,Blog,Contact,/water-damage-restoration,/mold-remediation,/fire-smoke-damage,/inspection-repairs,/moisture-control,/maintenance-plans,/resources/calculators,/service-areas/harney-county,/blog,/services,/resources,/maintenance-plans,/resources/calculators
Resources Hub,/resources,Resource,Resources Hub,Contact,/resources/calculators,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/resources/calculators/instant-repair-cost,/maintenance-plans,/service-areas/harney-county,/service-areas/mid-willamette-valley,,/,/services,/resources,/contact,/service-areas
Resources Help,/resources-help,Resource,Resources Help,Contact,/resources/calculators,/resources/home-maintenance-estimator,/resources/calculators/preventive-maintenance-roi,/resources/calculators/instant-repair-cost,/maintenance-plans,/service-areas/harney-county,/service-areas/mid-willamette-valley,,/,/services,/resources,/contact,/service-areas
Service Areas Index,/service-areas,Location Index,Service Areas Index,Contact,/maintenance-plans,/commercial-maintenance,/resources/calculators,/service-areas/harney-county,/service-areas/mid-willamette-valley,,,,/,/services,/resources,/contact,/service-areas
Sitemap,/sitemap,Page,Sitemap,Contact,/maintenance-plans,/commercial-maintenance,/resources/calculators,/service-areas/harney-county,/service-areas/mid-willamette-valley,,,,/,/services,/resources,/contact,/service-areas
